case,subject,stage,status,landmark_keys,similarity_scale,qc_pass,upside_down,median,p90,nose_weighted_median,source_nose_anchor_distance,eye_over_mouth_norm,nose_over_mouth_norm,vertical_z,landmark_nose_distance,landmark_left_eye_distance,landmark_right_eye_distance,landmark_mouth_distance,landmark_chin_distance,landmark_penalty
001_4_anger,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.1049854438783946,0,0,0.20651424888608594,0.4329947670998943,0.1832951751792223,0.4825732192908428,0.3066828580665045,0.11821553041006345,0.4563824609110668,0.001451634745675091,0.0019674301133767334,0.001399001648190013,0.0009194148956112303,0.003657518601143728,0.001645260675882629
001_5_jaw_left,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.070511121558874,0,0,0.21400677698964635,0.39713873888642676,0.15831867997978888,0.5747840006414251,0.3421080955423102,0.10200993098815188,0.5031858452906701,0.5120173732634461,0.29404742539165574,0.26446031453818025,0.29546392064579075,0.3584751823890986,0.3730140459256605
001_5_jaw_left,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.070511121558874,0,0,0.20187560892939974,0.38609083942811323,0.18581013723667006,0.49825443687180987,0.377051437061628,0.12079619061257948,0.5025942028010475,0.0015162609538119948,0.0018053122554755176,0.0015607776683369315,0.001333554572305359,0.004103647063047689,0.0017665050984291308
001_6_jaw_right,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.1165026799099882,0,0,0.20615538249505702,0.4656152478683906,0.15561249707000088,0.556658894196645,0.23076740195903947,0.08819994419544631,0.4275750377762937,0.4766345201643304,0.35123595153761916,0.2897417085900531,0.2381365284873282,0.28691839778573713,0.36249742089766274
001_6_jaw_right,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.1165026799099882,0,0,0.2069173734296523,0.4666649123315862,0.1778014219629871,0.48397258355262174,0.2608922023459668,0.10318561502474938,0.4128399882956608,0.0014227629638822853,0.0021691905614688763,0.0014415229509309533,0.0009832919245394258,0.0034240298060158754,0.0016748066583357846
001_7_jaw_forward,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.1172705768163722,0,0,0.21211087377858295,0.4572310819780963,0.1585480243132868,0.5518738559828228,0.24982595703455426,0.09884751954843875,0.45262530917873695,0.4758395049264683,0.33790074523513464,0.2849333576907246,0.25606414467772076,0.31028041016793484,0.3630887328292577
001_7_jaw_forward,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.1172705768163722,0,0,0.21087075788340942,0.45085228624909834,0.1823847497673884,0.4709871373262996,0.28261087539300256,0.11652027112990579,0.45521015635579243,0.0013939222479979658,0.0017112632126758448,0.0013785824679263057,0.0008752313414599599,0.0037107204216386895,0.0015658845025793109
001_8_mouth_left,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.0628495843932755,0,0,0.22265550331290007,0.38677564152067023,0.15433144581318076,0.57270672107304,0.359664889048551,0.04267398361987729,0.4889810058838603,0.5224492350065594,0.26392230624759244,0.28079047765379334,0.30300374929466,0.3497118253615991,0.37443423375822626
001_8_mouth_left,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.0628495843932755,0,0,0.21363333668203238,0.37621691968654697,0.17632689337470403,0.45164940125438807,0.40460554339854465,0.07953381218446125,0.4949709624862314,0.001956413110013066,0.001407166951664855,0.0018231143557122984,0.0008074567210092507,0.0043260481635852156,0.001839401168832745
001_9_mouth_right,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.1213763302382311,0,0,0.21769559671665345,0.4666628805025167,0.14909106342790263,0.5594930359600995,0.23443644182233653,0.09214228992826493,0.4396324803143399,0.47723104631975105,0.35313023920498776,0.2904903163161511,0.24757352453530931,0.2896324615713003,0.36487365030765634
001_9_mouth_right,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.1213763302382311,0,0,0.2143059909896337,0.45385120398326173,0.17013322127951777,0.4904565813720107,0.28129942766033184,0.11308167994532912,0.46326921416308214,0.0014267740568118647,0.0017871494761031296,0.0017005246918878822,0.001054680373413769,0.00424866925081014,0.001728804211705376
002_10_dimpler,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.5264946371914535,0,1,0.09238680865351549,0.18089621580628096,0.08903841774025595,0.5111476545948236,0.14847934734633556,0.10931974443335568,0.3122763649295332,0.4709307991914395,0.18425149215905612,0.24955752462780312,0.49588060924440236,0.19335343629707802,0.3491496506681439
002_10_dimpler,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.5264946371914535,0,0,0.09129943617213443,0.18865000788149022,0.1382468094191338,0.44242811792810466,0.2409227042973032,0.1484195925311372,0.44479220936984964,0.001573743233816434,0.001147660567099427,0.0015208766322268178,0.0032581027023594893,0.0017918588541220328,0.0017447217318057292
002_11_chin_raiser,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.5138847618603617,0,1,0.08467221296980594,0.17195071676899523,0.06878034972859147,0.5468122666021559,0.15100791704448505,0.08479903284320768,0.33849466924104715,0.5126616707089936,0.16037358816760455,0.19951128144059135,0.4656775192661827,0.21271522684471894,0.34647138143597417
002_11_chin_raiser,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.5138847618603617,0,0,0.09882029490112179,0.1635254204467934,0.13871828680474257,0.4258815880590096,0.2380799400601664,0.13193620605961717,0.4278285777451627,0.0021581401954152073,0.0014048082324711324,0.0013561272037609633,0.0034804328746296407,0.0018042953500733215,0.002010734466771054
002_12_lip_puckerer,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.5100916047933919,0,0,0.08545499853220337,0.16127029950204136,0.0643332706137148,0.5513453452823351,0.20749620193906787,0.08980444597757287,0.4210542160221994,0.5178178812723789,0.14627526409992103,0.18609317907532574,0.46500069047120757,0.20511107134505685,0.34205788466535886
002_12_lip_puckerer,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.5100916047933919,0,0,0.0920489086170236,0.14487718486473886,0.1110718525747234,0.470003909261243,0.2709024609013907,0.1328244668111668,0.47272174675855955,0.0016929345955983208,0.0009248254587463181,0.0009979406050772681,0.003196216991991582,0.0018614837579159647,0.0016334866824042114
002_13_lip_funneler,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.46884416700020665,0,0,0.09248619603038882,0.19314067459575354,0.11125312757540652,0.506547443181179,0.39727700757403606,0.19491248859410704,0.7015619269436117,0.4732757694493315,0.21467194781505497,0.29665095575811523,0.5064918037629538,0.22282029391147196,0.3696840666701463
002_13_lip_funneler,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.46884416700020665,0,0,0.10386320231873156,0.1896629495586719,0.17432354966903482,0.42211598910682757,0.42340271307575267,0.22891606904163547,0.701737297597938,0.001364043986325371,0.0012022663364314571,0.00192440207674699,0.0035385608781451413,0.003967581319890129,0.001979173937937825
002_14_sadness,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.4930238184441155,0,0,0.07544031104087734,0.18255710918656143,0.06955502737600947,0.5396464057690101,0.325646270126607,0.10024608962335722,0.6629641732890398,0.5012267130899966,0.1816263169003415,0.24270942944611384,0.47574245797985676,0.21230008635073996,0.3568260135744541
002_14_sadness,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.4930238184441155,0,0,0.08529204043397283,0.1834753870548661,0.11646252341550632,0.45697658596949475,0.3597598038520799,0.1475321828518128,0.6116327673996264,0.0016339666584246567,0.0010611333749678807,0.0012529169775076893,0.00321435381899203,0.001895939201431892,0.0016967754362446348
002_15_lip_roll,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.5153893947766849,0,0,0.08946296067015087,0.1725713466261553,0.09106437890337353,0.5157102882503344,0.3087500126469586,0.12947123874027508,0.5621287834865476,0.46528347745078685,0.18019386553868044,0.2404258791476729,0.5003026451937742,0.1865409976872475,0.34452061006380463
002_15_lip_roll,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.5153893947766849,0,0,0.08837588820291511,0.18600818207796127,0.13879986743661152,0.39870192666289,0.3324657606619869,0.16631564994536518,0.5294031779302102,0.0019523975651568513,0.0014192870874459478,0.0013620485284421835,0.0035874554319434166,0.0015497842369664452,0.0019350741036585567
002_16_grin,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.49939831823173225,0,0,0.08176444940785838,0.16867146493376,0.08135104627647315,0.5266209910821953,0.3506052530898841,0.1492804516067565,0.6937651497600291,0.49118075584467263,0.19976412356560272,0.24682210802403487,0.49550511277825676,0.18198341906738816,0.35815041400832265
002_16_grin,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.49939831823173225,0,0,0.08618575459773559,0.18165386552379853,0.14894654599383764,0.3625343781523199,0.3793439907067971,0.19336608821140425,0.6691028388694481,0.0016695226203392761,0.0013419722816522613,0.0016800005253452327,0.0030511533674801796,0.0026472441362350814,0.0018899034420785854
002_17_cheek_blowing,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.46091372852473345,0,0,0.08179145806475147,0.1836897218165742,0.06360315425251727,0.5590813903451954,0.4014007742119475,0.1124164599481817,0.6902323092196085,0.5187314704255257,0.16336748961461062,0.20056177216750526,0.4766572844564384,0.2160877851631406,0.3514114252462243
002_17_cheek_blowing,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.46091372852473345,0,0,0.10205164829428616,0.17290698774784383,0.1277070405862438,0.44514166649181564,0.4073511538041711,0.1643710847893103,0.5956249547840341,0.002294663944281638,0.0012475823754376678,0.0011411986978651905,0.004260461552471547,0.0018737624755019553,0.0021066931692614306
002_19_brow_raiser,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.5125723551424518,0,0,0.07968994045989572,0.17625555311064744,0.08330912916606259,0.5239110715075942,0.18957316909906313,0.11955796840954229,0.37380929163208954,0.4764976887535899,0.17332963979203533,0.21840545993352528,0.5043543053648415,0.2022341851744609,0.3446319805714913
002_19_brow_raiser,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.5125723551424518,0,0,0.08599450792458735,0.18009727151945168,0.11930961846401024,0.4490722468917021,0.2626645477496635,0.15166423618541644,0.4507459363233816,0.001582761442357148,0.001041403301943418,0.0011451335846699483,0.003366513370265309,0.0017268231605695897,0.0016611513280970192
002_1_neutral,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.4971061287278657,0,0,0.07487997731204135,0.1855166025942334,0.07066147597104654,0.539306788789216,0.2592379478199035,0.11347239010445474,0.5134489531780067,0.4932965277527303,0.16633658591904324,0.20324205623198904,0.49051575982477785,0.20491965727146325,0.3444307727471694
002_1_neutral,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.4971061287278657,0,0,0.08760989836439859,0.18626569363869405,0.10545739444810726,0.49012441867397016,0.3518945654459523,0.15579742191813276,0.5722940246969725,0.001758928568719634,0.0011843870256202302,0.001287723744867548,0.003879347268514386,0.00207060439523631,0.0018874213410516609
002_20_brow_lower,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.524649097533473,0,0,0.08105153238765107,0.1790554457227934,0.08308798715836116,0.524423502383676,0.1920482068202965,0.1216396795007987,0.38890917569788086,0.47661129883921544,0.17288390029265083,0.21777090866828905,0.4986772431124115,0.19157298207826826,0.3427461455375547
002_20_brow_lower,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.524649097533473,0,0,0.08633647357585274,0.18116259493531908,0.111191370148038,0.4713971977163548,0.26054079038485783,0.15815084463758242,0.4737018084606959,0.0016888974803937493,0.0009954804022295784,0.0011189331025682869,0.003953332484801971,0.001819546908099174,0.0017800050449191345
002_2_smile,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.5205266919060196,0,0,0.08620977066978111,0.17688639866655065,0.08454347988072614,0.5190892533704808,0.19124534651171604,0.13116117224264337,0.39442380315397063,0.47605958214251604,0.1873894666185247,0.23714579546723852,0.49247571765457654,0.18661504188643316,0.34808865938720707
002_2_smile,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.5205266919060196,0,0,0.0866793428209974,0.17734521910229217,0.11951641685854492,0.4465304337356587,0.25884358241447686,0.16537119228693672,0.4659469579562037,0.0015815517883905129,0.0013543901962814785,0.001263219917334767,0.0032602987917413145,0.001915801340919237,0.0017476235776413165
002_3_mouth_stretch,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.4654138070368239,0,0,0.09818614864499361,0.20178782279025906,0.13138598314450262,0.5017541532786427,0.48791976813699034,0.2901034899805003,0.737789970667149,0.4705269833773468,0.2064386525575447,0.29297448219215527,0.4640436179653619,0.18795436411744082,0.35713015614537147
002_3_mouth_stretch,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.4654138070368239,0,0,0.09621872034292255,0.18537335943299457,0.16196256668065728,0.4551844817870344,0.5096606484085392,0.3156309115879958,0.7024081636234851,0.0015477300679997974,0.0012829308978846334,0.0019803558769743317,0.0035727644583233476,0.0024421133883168055,0.001955285173382928
002_4_anger,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.53608417495482,0,0,0.0821986911839399,0.18640633947716076,0.07144169165232486,0.5383737551162615,0.3149354182989761,0.11127045497671201,0.655864442070318,0.49176725411887307,0.17962123827467075,0.20571621952859587,0.4757505465718182,0.16213964923698446,0.34140367075635786
002_4_anger,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.53608417495482,0,0,0.08646728895891516,0.18696183317931384,0.11051063265874506,0.46165441040479743,0.33844539301923077,0.1476320549033609,0.6188909090010163,0.0016182389619305978,0.0011017164622422505,0.0011010396932300986,0.003236927267257138,0.001530530119223447,0.0016422050670186563
002_5_jaw_left,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.5147361013946062,0,0,0.09390863574284661,0.17120802202248428,0.09916547588179228,0.5114742920438659,0.19940761544976185,0.14366525163672522,0.4008522447526618,0.4657740015829029,0.18322687333756002,0.2532138737623916,0.49575137546925463,0.19369313597353338,0.3478099080437926
002_5_jaw_left,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.5147361013946062,0,0,0.09439565124536889,0.19004923038357113,0.15508885302441797,0.41633215753899677,0.2872120940719938,0.17966345669302522,0.49207715314507877,0.002111795305595688,0.00118086410285648,0.001627239141526983,0.0042919161551295566,0.0016263929426261797,0.002109587260527267
002_6_jaw_right,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.49349269780626737,0,1,0.07561757522040297,0.1848296870757947,0.07264588361793073,0.5352309936483629,0.1654144884871852,0.09762003223961996,0.3303087277499191,0.4924080611759172,0.17114218542913173,0.20696236255401124,0.495804168382116,0.20972313847839513,0.3470104128996021
002_6_jaw_right,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.49349269780626737,0,0,0.08891334502583392,0.18586883105666177,0.12993534414770216,0.4141550749469408,0.2561855559991561,0.14500344877476323,0.4277486585754202,0.0020724152877908985,0.0014539660704772108,0.0014466638887755754,0.0035843037457730176,0.002049205486244435,0.0020430707605421064
002_7_jaw_forward,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.5070387491425888,0,1,0.0828490260004724,0.17257799916653263,0.08976523733780528,0.5202715101237598,0.1778823788070644,0.12985014106948897,0.344795261606454,0.4723105958803576,0.17925672744754878,0.2314456554865626,0.5023142431045778,0.20446129463949309,0.34682630101038703
002_7_jaw_forward,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.5070387491425888,0,0,0.09051613639698469,0.1914734229600955,0.14756452937257852,0.41684908745392196,0.271075601642176,0.17327242217859887,0.4560836807468582,0.002112718174593695,0.0011651345269882564,0.0015266053286808671,0.004376666043494563,0.002073625130223561,0.0021351968352547055
002_8_mouth_left,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.5339448009425958,0,0,0.1003535243900724,0.1824130299310296,0.09674128589317772,0.5056356714042731,0.21040308094793725,0.1505154933387344,0.4216603287954229,0.46543273378083927,0.205975919260063,0.2550214388390707,0.48935490925173686,0.18167097286625275,0.3507374867910309
002_8_mouth_left,002,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.5339448009425958,0,0,0.09571026131885195,0.18684886712801105,0.13872414960933302,0.46084255081426023,0.29283695802053694,0.18576769712333072,0.5249913066566759,0.0016612675441407525,0.001209617981672537,0.0015040947423961924,0.0037953917407924976,0.001848805078136103,0.0018702980293292613
002_9_mouth_right,002,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.5003251137204954,0,1,0.08284035802546062,0.17383957830845034,0.08925538222245123,0.5140192774306609,0.13537901903796515,0.10706585374843242,0.27153525792973626,0.4688571280742844,0.17554206612860282,0.24892785056120845,0.5089256633416659,0.2171493436590933,0.35036850766305044
