case,diagnostic_png,down_source,down_target,error,eye_over_mouth_norm,final_similarity_scale,method,nose_over_mouth_norm,nose_weighted_median,pre_scale,qc_pass,report_json,rigid_scale,runtime_sec,similarity_median,similarity_p90,source_nose_anchor_distance,target_fit_vertices,target_roi_vertices,upside_down,vertical_z,voxel
005_15_lip_roll,,1610,2040,,-0.5427479098920956,0.31464187963745677,facecrop_fpfh_fgr_icp,-0.21864748530066533,0.031093296626604136,0.3146418796374544,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_15_lip_roll/005_15_lip_roll_scratch_surface_registration_report.json,0.31464187963745677,2.813605785369873,0.01770150865310669,0.04997520829790329,0.23734811977225462,90000,230536,1,-0.9445882469857467,0.017835492240983814
005_15_lip_roll,,1610,2040,,0.12306689318857728,0.3146418796374544,facecrop_bbox_prescale_only,0.17267438770529106,0.0868376420387705,0.3146418796374544,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_15_lip_roll/005_15_lip_roll_scratch_surface_registration_report.json,0.3146418796374544,3.5173871517181396,0.0952904904428735,0.1841992093382039,0.23762999472276258,90000,230536,1,0.15500703104688546,0.017835492240983814
005_16_grin,,1532,2040,,-0.531083405858169,0.298891167279218,facecrop_fpfh_ransac,-0.22347768523797626,0.016377074203515248,0.30705019070384154,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_16_grin/005_16_grin_scratch_surface_registration_report.json,0.298891167279218,1.8164103031158447,0.0259295218335616,0.10104295083292925,0.2571768540100983,90000,230536,1,-0.9567378885967113,0.017835492240983814
005_16_grin,,1532,2040,,-0.5296849026193862,0.2988911672792201,facecrop_fpfh_ransac_icp,-0.23591531897748366,0.02147418290941923,0.30705019070384154,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_16_grin/005_16_grin_scratch_surface_registration_report.json,0.2988911672792201,2.1171257495880127,0.016353604877725504,0.04312417568924268,0.21627226924941628,90000,230536,1,-0.9147928334661029,0.017835492240983814
005_16_grin,,1532,2040,,-0.4774058492044437,0.3070501907038416,facecrop_fpfh_fgr,-0.23820538155774235,0.05521617085262207,0.30705019070384154,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_16_grin/005_16_grin_scratch_surface_registration_report.json,0.3070501907038416,2.420010566711426,0.03338710801551957,0.06692295900230237,0.24827793833592474,90000,230536,1,-0.7846219135040794,0.017835492240983814
005_16_grin,,1532,2040,,-0.5329809421143558,0.3070501907038431,facecrop_fpfh_fgr_icp,-0.22923893888743105,0.023208159291464015,0.30705019070384154,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_16_grin/005_16_grin_scratch_surface_registration_report.json,0.3070501907038431,2.7149078845977783,0.016356583541528864,0.04239246610867366,0.22570045852537496,90000,230536,1,-0.9348885330141765,0.017835492240983814
005_16_grin,,1532,2040,,0.11757650000134216,0.30705019070384154,facecrop_bbox_prescale_only,0.15062650496756738,0.0810070721434213,0.30705019070384154,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_16_grin/005_16_grin_scratch_surface_registration_report.json,0.30705019070384154,3.390903949737549,0.09059395433995539,0.1798826508287018,0.23045064372641,90000,230536,1,0.15364320628826533,0.017835492240983814
005_17_cheek_blowing,,1547,2040,,-0.5136313782649258,0.30536734229005114,facecrop_fpfh_ransac,-0.23069541824296153,0.010213145110838104,0.3116707701091654,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_17_cheek_blowing/005_17_cheek_blowing_scratch_surface_registration_report.json,0.30536734229005114,1.7844626903533936,0.020853407086262866,0.11091367446363545,0.3543352806113891,90000,230536,1,-0.9264752927872485,0.017835492240983814
005_17_cheek_blowing,,1547,2040,,-0.5435183825098324,0.3053673422900526,facecrop_fpfh_ransac_icp,-0.22577858298593342,0.022371989686985682,0.3116707701091654,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_17_cheek_blowing/005_17_cheek_blowing_scratch_surface_registration_report.json,0.3053673422900526,2.119377374649048,0.0177993923559935,0.07692026591286899,0.30551786320599056,90000,230536,1,-0.9350211055495686,0.017835492240983814
005_17_cheek_blowing,,1547,2040,,-0.5190217140227171,0.31167077010916533,facecrop_fpfh_fgr,-0.23452507496533506,0.07713594141095398,0.3116707701091654,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_17_cheek_blowing/005_17_cheek_blowing_scratch_surface_registration_report.json,0.31167077010916533,2.42203950881958,0.03803637458209551,0.088018395189385,0.2946045591396838,90000,230536,1,-0.8354752326343167,0.017835492240983814
